chem_name,chemical_key,normalized_chemical_name,chem_type,dose_basis
BioSuite_GQ2510,BioSuite_GQ2510,BioSuite_GQ2510,glut/quat_biocide,tbd
WAW9002,WAW9002,WAW9002,surfactant,tbd
EBO2066,EBO2066,EBO2066,emulsion_breaker,tbd
SCW6095,SCW6095,SCW6095,scale/corrosion_inhibitor,tbd
WAW9001,WAW9001,WAW9001,surfactant,tbd
SCW6027,SCW6027,SCW6027,scale/corrosion_inhibitor,tbd
SIW5004,SIW5004,SIW5004,scale_inhibitor,tbd
PS07_Xylene,PS07_Xylene,PS07_Xylene,solvent,tbd
PDW4902,PDW4902,PDW4902,paraffin_dispersant,tbd
SCW6020AF2,SCW6020AF2,SCW6020AF2,scale/corrosion_inhibitor,tbd
PFW8005,PFW8005,PFW8005,good_stuff,tbd
